Job ID,Job Title,Company,Metro Area,City,State,Industry,Role Category,Role Group,Employment Type,Work Arrangement,Salary Min,Salary Max,Salary Avg,Salary Listed?,Experience Required,Degree Required,SQL Required,Python Required,Excel Required,Power BI Required,Tableau Required,ServiceNow Required,Ticketing Required,Cloud Required,Healthcare/Research Related,Security Clearance Mentioned,U.S. Citizenship Required,Clearance/Citizenship Barrier?,Posting URL,Date Collected,Notes
11,Junior Database Administrator,ECS / Everforth ECS,Bethesda/DC,Falls Church,VA,Defense / Federal Contractor / Military Healthcare IT,Database Administration / Data Analytics / Healthcare IT,Data / BI / Analytics,Full-time,On-site / unclear,Unknown,Unknown,,No,0?3 years DoD/database management experience,Yes,1,1,0,0,0,0,0,0,1,0,0,No,https://myjobs.adp.com/ecsfederal/cx/job-details?reqId=5001193503106&rb=LINKEDIN,7/9/2026,"DHA healthcare IT database role involving database administration, testing, implementation, security, SEMOSS, Python, R, AI analytics, dashboards, predictive analysis, Oracle, and SQL Server. Contingent on contract award."
12,Data Analyst,DJS Financial Services,Bethesda/DC,Arlington,VA,Government Contractor / Financial Services,Data / BI / Reporting,Data / BI / Analytics,Full-time,Unknown,Unknown,Unknown,,No,0?2 years,Yes,0,0,1,0,0,0,0,0,0,1,1,Yes,Unknown,7/9/2026,"Data analyst role involving data collection, analysis, reporting, dashboards, validation, QA, and financial/operational reporting. Requires citizenship, background/credit check, and Secret eligibility."
13,University - IT Business Analyst,Booz Allen Hamilton,Bethesda/DC,McLean,VA,Government Contractor / Consulting / Federal Technology,Business Analysis / IT Analysis / Requirements Analysis,Business / ITSM / Process,Full-time,Hybrid,43700,90000,66850,Yes,University/early-career role; master's by Winter/Spring/Summer 2028,Yes,0,0,0,0,0,0,0,0,0,1,0,Yes,Unknown,7/9/2026,"Business analyst role involving requirements, test criteria, documentation, development teams, demos, and Secret eligibility."
14,Junior Business Analyst,CGI,Bethesda/DC,Fairfax,VA,Government Contractor / IT Consulting / Federal Technology,Business Analysis / IT Analysis / Requirements Analysis,Business / ITSM / Process,Full-time,Hybrid,51600,121100,86350,Yes,Junior role,Unknown,0,0,0,0,0,0,1,0,0,1,0,Yes,Unknown,7/9/2026,"Junior BA role involving Agile web apps, requirements, UI, test plans, defects, help desk ticket triage, troubleshooting, documentation, and data analysis trends."
15,Jr. Systems Engineer - Dedicated,Atlas Technica,Bethesda/DC,Washington,DC,Managed IT Services / Financial Services Technology,IT Support / Systems Administration / Desktop Support,IT Support / Help Desk,Full-time,On-site dedicated client,Unknown,Unknown,,No,At least 1 year IT experience,Unknown,0,0,0,0,0,0,1,1,0,0,0,No,https://careers.atlastechnica.com/p/1888e5c2ee1b-jr-systems-engineer-dedicated?src=linkedin,7/9/2026,"Onsite support role involving ticketing, Windows, Office 365, Microsoft 365, Exchange Online, SharePoint, Intune, Azure AD, Windows Server, Active Directory, Group Policy, and basic networking."
16,Service Desk Engineer,Tata Consultancy Services,Philadelphia,Blue Bell,PA,IT Consulting / Technology Services,Service Desk / IT Support / Help Desk,IT Support / Help Desk,Full-time,Unknown,55000,70000,62500,Yes,Entry-level / early-career,Yes,0,0,0,0,0,0,1,0,0,0,0,No,https://ibegin.tcsapps.com/candidate/jobs/414712J,7/9/2026,"Service desk role involving ticket logging, first-level support, password/access issues, basic IT support, SLAs, ITIL, Windows, Mac, and networking."
17,Help Desk Analyst,Medasource,Philadelphia,Philadelphia,PA,Healthcare IT / IT Staffing / Consulting,IT Support / Help Desk / Service Desk,IT Support / Help Desk,Contract,On-site,37440,45760,41600,Yes,Entry-level / early-career,Unknown,0,0,0,0,0,0,1,0,1,0,0,No,https://www.linkedin.com/jobs/view/4426081993/,7/9/2026,"Tier I healthcare help desk role involving phone, email, chat, ticketing, hardware/software/app/account/system support, HIPAA, and Tier II/III escalation."
18,L1 Technical Support Engineer,EfficientIP,Philadelphia,West Chester,PA,Network Automation / Cybersecurity / DDI,Technical Support / Network Support / Help Desk,Infrastructure / Cloud / Security,Full-time,Hybrid,Unknown,Unknown,,No,0?2 years desired,No,0,0,0,0,0,0,1,0,0,0,0,No,Unknown,7/9/2026,"L1 technical support role involving DNS, DHCP, IPAM, TCP/IP, HTTP, network support, troubleshooting, and escalation. Commute borderline/manageable."
19,Entry Level Software Developer,SkillStorm,Philadelphia,Philadelphia,PA,Technology Training / IT Consulting / Enterprise & Government Clients,Software Development / Junior Developer,Software / Application,Full-time,On-site,Unknown,Unknown,,No,Entry-level; paid training and client deployment,No,1,0,0,0,0,0,0,0,0,1,0,Yes,Unknown,7/9/2026,"Entry-level software developer role with paid training and client deployment. Skills include Java, C#, SQL, OOP, data structures, algorithms, and software development. Clearance eligibility and relocation caution."
20,IT Operations Analyst,Chatham Financial,Philadelphia,Kennett Square,PA,Financial Services / Capital Markets Technology,IT Support / IT Operations / Help Desk,IT Support / Help Desk,Full-time,On-site / rotating after-hours on-call,Unknown,Unknown,,No,Early-career IT operations role,Unknown,0,0,0,0,0,0,1,0,0,0,0,No,Unknown,7/9/2026,"Tier 1 IT operations role involving Microsoft 365, Active Directory, ITSM, user accounts, procurement, knowledge base work, trend analysis, and on-call support. Commute borderline/not ideal."
21,Help Desk / IT Support Specialist,"Sabre Systems, LLC",Philadelphia,Warminster,PA,Government Contractor / Defense / Technology Services,IT Support / Help Desk / Desktop Support,IT Support / Help Desk,Full-time,On-site,60000,70000,65000,Yes,Entry-level / early-career,Unknown,0,0,1,0,0,0,1,0,0,0,1,Yes,Unknown,7/9/2026,"First-tier IT support role involving service requests, procurement/assets, conference technology, inventory, account add/edit/remove, password resets, citizenship, and background requirements."
22,Associate Data Engineer,Phenom,Philadelphia,Ambler,PA,HR Technology / AI Platform / Data Engineering,Data Engineering / Data Analytics / AI Data Products,Data / BI / Analytics,Full-time,Hybrid / five days in-office listed,70000,90000,80000,Yes,Entry-level / associate,Yes,1,1,0,0,0,0,0,0,0,0,0,No,Unknown,7/9/2026,"Data engineering role involving ingestion pipelines, semantic alignment, ontologies, metadata, entity resolution, data quality, low-latency workflows, semantic search, knowledge graphs, Airflow, Spark, and graph databases. No visa sponsorship."
23,Data Analyst,PMA Companies,Philadelphia,Philadelphia,PA,Insurance / Commercial Risk / Actuarial Reporting,Data / BI / Reporting,Data / BI / Analytics,Full-time,Unknown,Unknown,Unknown,,No,Entry-level / early-career,Yes,0,0,1,1,0,0,0,0,0,0,0,No,Unknown,7/9/2026,"Data analyst role involving reports, exhibits, spreadsheets, macros, queries, scripts, data validation, Power BI, and compliance."
24,Associate Software Engineer-Applications & Automation,City of Philadelphia,Philadelphia,Philadelphia,PA,Government / Public Sector IT / City Technology,Software Development / Applications / Automation,Software / Application,Full-time,On-site,55000,60000,57500,Yes,Entry-level / associate,Yes,0,1,0,0,0,0,0,0,0,0,0,No,Unknown,7/9/2026,"Applications and automation role involving internal apps, scripts, workflow automation, backend support, data access, Python, C#, JavaScript, PowerShell, cover letter, and Philadelphia residency."
25,Identity Management Analyst - New Grad,Susquehanna International Group,Philadelphia,Bala Cynwyd,PA,Financial Services / Trading / Information Security,Identity and Access Management / Cybersecurity / IT Security,Infrastructure / Cloud / Security,Full-time,Hybrid,Unknown,Unknown,,No,New grad role,Yes,0,1,0,0,0,0,0,1,0,0,0,No,Unknown,7/9/2026,"New-grad IAM/security role involving RBAC, Entra ID, AWS IAM, Active Directory, identity providers, Python, and PowerShell."
26,Database Administrator - I,Phenom,Philadelphia,Ambler,PA,HR Technology / AI Platform / Database Ops,DBA / Cloud / DevOps,Data / BI / Analytics,Full-time,Unknown,80000,90000,85000,Yes,Entry-level DBA role,Yes,1,1,0,0,0,0,0,1,0,1,0,Yes,Unknown,7/9/2026,"DBA role involving MongoDB, PostgreSQL, MySQL, Redis, Elasticsearch, backup/recovery, tuning, automation, AWS/Azure, Docker, Kubernetes, and CI/CD. Clearance eligibility may be required."
27,Power Analyst,Susquehanna International Group,Philadelphia,Bala Cynwyd,PA,Financial Services / Quant Trading / Energy Markets,Data / Analytics / Energy Markets,Data / BI / Analytics,Full-time,Unknown,Unknown,Unknown,,No,0?2 years,Yes,1,1,0,0,0,0,0,0,0,0,0,No,Unknown,7/9/2026,"Energy/power trading analytics role involving forecasts, SQL, Python, VBA, data analysis, and market research."
28,Junior Consultant,WonderBotz,Philadelphia,Princeton,NJ,Intelligent Automation / AI Consulting,IT Consulting / Automation / AI / RPA,Software / Application,Full-time,On-site,Unknown,Unknown,,No,Recent grads or 1?2 years,Yes,1,1,0,0,0,0,0,0,0,0,0,No,Unknown,7/9/2026,"Junior automation consulting role involving APIs, AI/ML, RPA, automation, SQL, Python, and client-facing work. Borderline Philly-adjacent."
29,Business Analyst,IntePros,Philadelphia,Philadelphia,PA,Staffing / Consulting / Business Technology,Business Analysis / IT Analysis / Process Improvement,Business / ITSM / Process,Full-time,Hybrid 3x/week,83200,93600,88400,Yes,Junior BA role,Yes,0,0,0,0,0,0,0,0,0,0,0,No,Unknown,7/9/2026,"Business analyst role involving requirements, process improvement, reports, models, SQL/data/UX/Figma/Visual Studio preferred, and hybrid work."
30,IT User Support Specialist,"Greenberg Traurig, LLP",Bethesda/DC,Washington,DC,Legal Services / Professional Services / Law Firm IT,IT Support / Desktop Support / User Support,IT Support / Help Desk,Full-time,On-site,79997,90667,85332,Yes,Prior tech support in professional office preferred,No,0,0,0,0,0,0,1,0,0,0,0,No,https://gtlaw.wd1.myworkdayjobs.com/GTLAW/job/Washington-DC/IT-User-Support-Specialist_JR202600589/?source=LinkedIn,7/9/2026,"User support role involving hardware/software, asset inventory, setups/moves, AV/conference support, Intune, Outlook Mobile, phones, request tracking, Windows 11, Microsoft 365, iManage, Zoom, Webex, Citrix, VPN, and RDP."
31,"HelpDesk Specialist, Tier 1","International Registries, Inc.",Bethesda/DC,Reston,VA,International Business / Corporate IT / Maritime Registry Services,IT Support / Help Desk / Desktop Support,IT Support / Help Desk,Full-time,On-site,50000,75000,62500,Yes,2 years preferred; recent grads considered,No,0,0,1,0,0,0,1,0,0,0,0,No,https://www.linkedin.com/jobs/view/4432866342/,7/9/2026,"Tier 1 helpdesk role involving triage, service management, laptops, mobile devices, Office, documentation, Windows 10, Office 365, Active Directory, LAN, and WAN. Commute borderline/not ideal daily."
32,Technical Support Specialist - Evening,Relativity,Bethesda/DC,Maryland / Washington,MD/DC,Legal Technology / SaaS / eDiscovery,Application Support / Technical Support / SaaS Support,Software / Application,Full-time,Hybrid / Remote evening Sunday-Thursday,54000,80000,67000,Yes,Entry-level / early-career,Unknown,1,0,0,0,0,0,1,0,0,0,0,No,https://kcura.wd1.myworkdayjobs.com/External_Career_Site/job/Illinois/Technical-Support-Specialist---Evening_26-0257-1?source=LinkedIn,7/9/2026,"Application support role involving customer requests, troubleshooting, tickets, Salesforce, SLAs, Relativity, Windows, networking, SQL, SDLC, and SaaS support."
33,Data Analyst,Capgemini Government Solutions,Bethesda/DC,Washington,DC,Government Contractor / Federal Consulting / Data & AI,Data / BI / Reporting / Analytics,Data / BI / Analytics,Full-time,Unknown,60000,85000,72500,Yes,Entry-level / early-career,Yes preferred,0,0,1,1,1,0,0,0,0,1,1,Yes,https://www.adzuna.com/details/5768063750,7/9/2026,"Data analyst role involving BI, analytics, metrics, reporting, Excel, Access, Power BI, Tableau, policy analysis, quantitative analysis, process design, process improvement, and project management. Requires citizenship and clearance eligibility."
34,Junior Cloud Engineer,ISI / Industrial Security Integrators,Bethesda/DC,Reston,VA,Federal Contractor / Cloud Security / Microsoft Cloud,Cloud Engineering / Systems Administration / Microsoft 365,Infrastructure / Cloud / Security,Full-time,Hybrid,80000,95000,87500,Yes,Working knowledge of Microsoft 365/Azure expected,Unknown,0,0,0,0,0,0,0,1,0,1,1,Yes,https://isienterprises.applytojob.com/apply/MFGArI1zqR/Junior-Cloud-Engineer-Hybrid?source=Our%20Career%20Page%20Widget,7/9/2026,"Junior cloud role involving Microsoft 365, Azure, Intune, SharePoint, Purview, Defender, Entra ID, cloud setup/migration, CMMC, and PowerShell. Requires citizenship and clearance eligibility."
35,IT Service Desk Support Specialist,Music & Arts / The Guitar Center Company,Bethesda/DC,Frederick,MD,Retail / Music Retail / Corporate IT,IT Support / Service Desk / Desktop Support,IT Support / Help Desk,Full-time,Corporate / unclear,68000,90000,79000,Yes,Entry-level / early-career,Unknown,0,0,1,0,0,0,1,1,0,0,0,No,https://careers.guitarcenter.com/en/jobs/17929586-it-service-desk-support-specialist,7/9/2026,"Tier 1 support role for store, field, corporate, remote, and hybrid users involving Active Directory, Azure AD/Entra, Microsoft 365, Exchange, POS, imaging, deployment, LAN, Wi-Fi, and troubleshooting. Commute borderline/manageable from Bethesda."
36,IT Support Specialist,The Nuclear Company,Bethesda/DC,Washington,DC,Nuclear Energy / Clean Energy Startup / Corporate IT,IT Support / Desktop Support / Executive Support,IT Support / Help Desk,Full-time,On-site,81000,98000,89500,Yes,Experience expected but no specific years listed,Unknown,0,0,0,0,0,1,1,0,0,0,0,No,https://grnh.se/h91bvoqz8us,7/9/2026,"IT support role involving phone, email, ticketing, executive support, hardware, software, network support, Active Directory, Microsoft 365, TCP/IP, DNS, DHCP, VPN, endpoint protection, and patching."
37,Help Desk Specialist,Sev1Tech / Entarian,Bethesda/DC,Suitland,MD,Federal Contractor / Environmental Satellite Ops / Government IT,IT Support / Help Desk / Mission Systems Support,IT Support / Help Desk,Full-time,On-site,52000,55000,53500,Yes,1+ year,Yes / AA or equivalent,0,0,1,0,0,0,1,0,1,0,0,No,https://careers-entarian.icims.com/jobs/9699/help-desk-specialist/job?in_iframe=1&mode=apply&iis=LinkedIn,7/9/2026,"NOAA satellite systems help desk role involving monitoring, alarms, tickets, logs, anomalies, phone/email support, end users, and government badge/background."
38,Help Desk Technician,IntraFi,Bethesda/DC,Arlington,VA,Financial Services / Banking Technology / FinTech,IT Support / Help Desk / Technical Support,IT Support / Help Desk,Full-time,Hybrid,62400,75005,68702.5,Yes,1?3 years helpdesk,Yes / BS or equivalent,0,0,0,0,0,0,1,0,0,0,0,No,https://jobs.lever.co/intrafi/fd0261c9-f8a3-4f0f-b0ae-5c9048694e57/apply?lever-source=LinkedIn,7/9/2026,"Help desk role involving onsite/remote/external customer support, computer diagnostics, software installs, equipment testing, IT equipment deployment, system monitoring, and AI tools."
39,Tech Analyst I,OneOncology,Bethesda/DC,Owings Mills,MD,Healthcare / Oncology / Health IT,IT Support / Service Desk / Technical Support,IT Support / Help Desk,Full-time,Primarily on-site,50000,60000,55000,Yes,1?4 years,Unknown,0,0,0,0,0,0,1,0,1,0,0,No,https://oneoncology.wd1.myworkdayjobs.com/OneOncology/job/Owings-Mills-MD/Tech-Analyst-I_R-0000021700?source=LinkedIn,7/9/2026,"Healthcare service desk role involving desktop incidents, requests, ITSM, ticket resolution, escalation, on-call support, and healthcare IT operations."
40,IT Service Desk Technician,Everfox,Bethesda/DC,Herndon,VA,Cybersecurity / Federal Technology / Digital Workplace IT,IT Support / Service Desk / Endpoint Support,Infrastructure / Cloud / Security,Full-time,Hybrid,56200,73700,64950,Yes,Bachelor's or 1?3 years,Yes or equivalent experience,0,0,0,0,0,0,1,1,0,0,0,No,https://evergreenix.wd1.myworkdayjobs.com/en-US/external-careers2/job/USA_VA_Herndon/IT-Service-Desk-Technician_JR500662-2?source=LinkedIn,7/9/2026,"Service desk role involving JIRA, Active Directory, Office 365, Exchange, endpoints, Teams, Zoom, DNS, DHCP, IP, LAN, wireless, Zero Trust, endpoint imaging, onboarding/offboarding, scripts, and automation."
41,Entry Level Application Engineer - 2026 Start Date,Vanguard,Philadelphia,Malvern,PA,Financial Services / Investment Management / Technology,Software Development / Application Engineering,Software / Application,Full-time,Hybrid,Unknown,Unknown,,No,0?3 years,Yes,0,0,0,0,0,0,0,1,0,0,0,No,https://www.vanguardjobs.com/job/22484126,7/9/2026,"Entry-level application engineer role involving Angular, Java, REST microservices, AWS, CI/CD, Bamboo, JUnit, Protractor, Jasmine, Selenium, and Agile. No visa sponsorship."
42,BI Analytics Analyst,"Morgan, Lewis & Bockius LLP",Philadelphia,Philadelphia,PA,Legal Services / Law Firm / Professional Services,Data / BI / Reporting,Data / BI / Analytics,Full-time,Hybrid,Unknown,Unknown,,No,Early-career analytics role,Yes,1,0,1,1,1,0,0,0,0,0,0,No,https://morganlewis.wd5.myworkdayjobs.com/en-US/morganlewis/job/Philadelphia-Pennsylvania/BI-Analytics-Analyst_R4075?source=Social_Share_Linkedin,7/9/2026,"BI role involving dashboards, reports, data sources, KPIs, business rules, statistical modeling, IT infrastructure/database support, Excel, Power BI, Access, VBA, SQL Server, SSRS, Tableau, and Qlik."
43,Junior Strategic Analyst,Perpay Inc.,Philadelphia,Philadelphia,PA,FinTech / Consumer Finance / Startup,Data / Analytics / Strategic Analysis / BI,Data / BI / Analytics,Full-time,On-site,Unknown,Unknown,,No,Recent grads 2024?2026,Yes,1,1,0,0,0,0,0,0,0,0,0,No,https://job-boards.greenhouse.io/perpay/jobs/4158121007?grnh=4b81b4407us&gh_src=394p9og47us,7/9/2026,"Junior strategic analyst role involving advanced SQL, Python/R, business problem solving, executive recommendations, dashboards, self-service BI, and fintech analytics."
44,Data Scientist,CubeSmart,Philadelphia,Malvern,PA,Real Estate / REIT / Self-Storage / Corporate Analytics,Data Science / Analytics / ML,Data / BI / Analytics,Full-time,Hybrid 3 days,Unknown,Unknown,,No,1?3 years,Yes / graduate degree required,1,1,0,0,0,0,0,0,0,0,0,No,Appcast link,7/9/2026,"Data scientist role involving ML models, preprocessing, validation, trends, segmentation, pricing, inventory, A/B testing, reports, visualizations, and Databricks preferred. No sponsorship."
45,Data Engineer,BeaconFire Inc.,Philadelphia,Philadelphia,PA,Software Development / Business Intelligence / IT Consulting,Data Engineering / ETL / BI,Data / BI / Analytics,Full-time,Hybrid,65000,80000,72500,Yes,1+ years Python/MySQL,Yes / master's required,1,1,0,0,0,0,0,0,0,0,0,No,https://www.linkedin.com/jobs/view/4433135199/,7/9/2026,"Data engineer role involving data integrations, reporting pipelines, transformation, ETL/ELT, database table extraction/manipulation, utilities/frameworks, automated unit tests, integration testing, performance issues, Python, SQL/MySQL, SQL Server, Oracle, NumPy, and Pandas."
46,Software Engineer,Ascensus,Philadelphia,Philadelphia,PA,Financial Technology / Retirement Savings / Enterprise AI,Software Engineering / AI Application Support / QA / SDET,Software / Application,Full-time,Remote,65000,150000,107500,Yes,Associate 0?2 years/new grads; up to 3 years software/support/QA/SDET,Yes,1,0,0,0,0,0,1,0,0,0,0,No,https://careers.ascensus.com/jobs/software-engineer-philadelphia-pennsylvania-united-states-48107949-b040-4794-a87d-306092ae4890?source=linkedin_posting&utm_source=linkedin_posting,7/9/2026,"AI tech software role involving Agent Assist, LLM prompts, RAG, agents, API testing, logs, SQL, Azure DevOps, Cursor/Claude Code, and user training. No sponsorship/OPT."
47,Network Support Analyst,"Liberty Personnel Services, Inc.",Philadelphia,Philadelphia / Bala Cynwyd,PA,Staffing / Recruiting / Financial Services / Proprietary Trading,Network Support / Technical Operations / Application Support,Infrastructure / Cloud / Security,Full-time,Unknown,Unknown,Unknown,,No,1?3 years network support/operations/sysadmin,Yes,0,1,0,0,0,0,0,0,0,0,0,No,https://www.linkedin.com/jobs/view/4436869273/,7/9/2026,"Network support role involving trading systems, Windows, Linux, PowerShell/Python/Bash, problem solving, and technical operations. Client unnamed."
48,"Analyst I, Customer Experience Process (ServiceNow)",DaVita Kidney Care,Philadelphia,Malvern,PA,Healthcare / Kidney Care / Health IT,ITSM / ServiceNow / Process Analysis / CX,Business / ITSM / Process,Full-time,Hybrid,Unknown,Unknown,,No,1?3 years IT/analytical experience,No,0,0,1,0,0,1,1,0,1,0,0,No,Click/jobsplice redirect,7/9/2026,"ServiceNow process analyst role involving ITSM/HRSD, process audits, workflow improvement, data analysis, AI tools, governance, training, documentation, and ITIL."
49,Basel Measurement & Analytics - Analyst,JPMorganChase,Philadelphia,Newark,DE,Financial Services / Banking / Regulatory Reporting,Data / Financial Analytics / Regulatory Reporting,Data / BI / Analytics,Full-time,On-site,Unknown,Unknown,,No,Treasury/financial/regulatory reporting or related internship/co-op,Yes,1,0,1,0,0,0,0,0,0,0,0,No,https://JPMorganChase.contacthr.com/152443349,7/9/2026,"Regulatory reporting analytics role involving RWA datasets, validation, trends, data gaps, reporting deliverables, test cases, Excel, SQL, Alteryx/Databricks/Python preferred, and Basel III. No sponsorship/OPT/CPT."
50,Onsite Software Support Analyst,Toyota Automated Logistics,Philadelphia,Bristol,PA,Warehouse Automation / Logistics Technology / Software,Application Support / Software Support / Operations Support,Software / Application,Full-time,On-site,Unknown,Unknown,,No,Early-career software support role,Yes,1,0,0,0,0,0,1,0,0,0,0,No,https://www.linkedin.com/jobs/view/4438692014/,7/9/2026,"Application support role for Exacta software involving tickets, RCA, database/PC/server issues, change management, SQL queries, SSRS, stored procedures, triggers, TFS, QA/test plans, deployment, travel, and no sponsorship."
51,Index Portfolio Management Analyst,Nasdaq,Philadelphia,Philadelphia,PA,Financial Services / Indexes / Capital Markets,Data / Financial Analytics / Portfolio Analytics,Data / BI / Analytics,Full-time,Hybrid 3 days,Unknown,Unknown,,No,0?3 years / recent grad / final-year,Yes,1,0,0,0,0,0,0,0,0,0,0,No,https://nasdaq.wd1.myworkdayjobs.com/Global_External_Site/job/USA---Philadelphia---Pennsylvania/Index-Portfolio-Management-Analyst_R0026098,7/9/2026,"Index analytics role involving index models, rebalance, reconstitution, model output validation, datasets, documentation, R, Databricks, and SQL."
52,Customer Service Representative | IT Help Desk,CBIZ,Philadelphia,Philadelphia,PA,Professional Services / Accounting / Advisory / Technology Services,IT Support / Help Desk / Service Desk / Dispatch Support,IT Support / Help Desk,Full-time,Hybrid,Unknown,Unknown,,No,1 year IT highly preferred; 3 years client-facing/dispatch highly preferred,No,0,0,0,0,0,0,1,0,0,0,0,No,https://ebez.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/job/5298/?utm_medium=jobshare,7/9/2026,"Help desk/dispatch role involving phone/email support, creating trouble tickets, dispatching tickets, follow-up, first call resolution, escalation, ticket closing, documentation, and process improvement."
